Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"110","Bandhan Bank Ltd","BANDHANBNK","199.72","0.72%","2,71,93,264",""
"111","Billionbrains Garage Ventures Ltd","GROWW","214.99","0.71%","2,40,35,610",""
"112","InfoBeans Technologies Ltd","INFOBEAN","179.96","0.65%","12,73,948",""
"113","Cholamandalam Investment And Finance Company Limited","CHOLAFIN","1,562.9","0.62%","72,13,356",""
"114","Shakti Pumps (india) Limited","SHAKTIPUMP","564.3","0.58%","17,96,761",""
"115","Td Power Systems Limited","TDPOWERSYS","1,152.7","0.54%","14,69,140",""
"116","Happiest Minds Technologies Ltd","HAPPSTMNDS","373.1","0.47%","5,47,076",""
"117","Maruti Suzuki India Limited","MARUTI","13,314","0.43%","6,12,975",""
"118","AGI Infra Ltd","AGIIL","395.55","0.41%","61,39,797",""
"119","Cesc Limited","CESC","187.53","0.4%","23,71,203",""
"120","Engineers India Limited","ENGINERSIN","251.94","0.39%","48,83,287",""
"121","Reliance Industries Limited","RELIANCE","1,430.8","0.38%","3,09,57,881",""
"122","Kotak Mahindra Bank Limited","KOTAKBANK","383.3","0.34%","2,48,12,228",""
"123","Coal India Limited","COALINDIA","481.45","0.32%","1,69,35,052",""
"124","ITC Hotels Ltd","ITCHOTELS","160.57","0.3%","58,26,571",""
"125","Tata Investment Corporation Limited","TATAINVEST","719.5","0.27%","9,37,174",""
"126","Indusind Bank Limited","INDUSINDBK","916.05","0.25%","34,38,569",""
"127","Apollo Micro Systems Ltd","APOLLO","297.11","0.25%","64,47,222",""
"128","Gujarat State Petronet Limited","GSPL","285.19","0.25%","5,79,462",""
"129","Aster DM Healthcare Ltd","ASTERDM","701.05","0.22%","5,20,071",""
"130","Vintage Coffee & Beverages Ltd","VINCOFE","135.76","0.17%","9,98,713",""
"131","Delhivery Ltd","DELHIVERY","467.05","0.16%","25,62,642",""
"132","SBI Life Insurance Company Ltd","SBILIFE","1,819","0.15%","10,82,053",""
"133","Jayaswal Neco Industries Limited","JAYNECOIND","110.79","0.14%","93,83,973",""
"134","BSE (Bombay stock exchange) Ltd","BSE","3,640.5","0.13%","23,81,291",""
"135","Jsw Energy Limited","JSWENERGY","561.15","0.13%","18,86,082",""
"136","Genus Power Infrastructures Limited","GENUSPOWER","312.05","0.11%","9,54,764",""
"137","The Karnataka Bank Limited","KTKBANK","268.61","0.1%","36,91,889",""
"138","Choice International Ltd","CHOICEIN","663.45","0.09%","9,26,010",""
"139","Triveni Engineering & Industries Limited","TRIVENI","412.25","0.09%","7,33,338",""
"140","Jyothy Laboratories Limited","JYOTHYLAB","265.64","0.09%","7,42,397",""
"141","Kalyan Jewellers India Ltd","KALYANKJIL","412.75","0.08%","23,32,209",""
"142","Tata Consultancy Services Limited","TCS","2,473.9","-0.03%","39,70,446",""
"143","Welspun Corp Limited","WELCORP","1,266.75","-0.04%","11,54,209",""
"144","IRM Energy Ltd","IRMENERGY","356.91","-0.05%","2,29,61,236",""
"145","Bharti Airtel Limited","BHARTIARTL","1,886.8","-0.07%","1,27,09,188",""
"146","ACME Solar Holdings Ltd","ACMESOLAR","302.85","-0.08%","11,05,704",""
"147","Hcl Technologies Limited","HCLTECH","1,199.1","-0.09%","50,70,033",""
"148","Ramkrishna Forgings Limited","RKFORGE","598.3","-0.09%","8,24,502",""
"149","Asian Paints Limited","ASIANPAINT","2,444.5","-0.11%","8,23,684",""
"150","Muthoot Microfin Ltd","MUTHOOTMF","192.38","-0.11%","10,46,666",""
"151","Fractal Analytics Ltd","FRACTAL","936.05","-0.15%","7,84,447",""
"152","Avenue Supermarts Ltd","DMART","4,585.9","-0.16%","5,28,855",""
"153","Shadowfax Technologies Ltd","SHADOWFAX","165.78","-0.16%","28,03,041",""
"154","AU Small Finance Bank Ltd","AUBANK","1,015.95","-0.17%","18,15,610",""
"155","Aeroflex Industries Ltd","AEROFLEX","304.67","-0.17%","23,75,804",""
"156","Arisinfra Solutions Ltd","ARIS","137.37","-0.18%","10,55,751",""
"157","Jk Tyre & Industries Limited","JKTYRE","406.1","-0.21%","10,90,516",""
"158","Adani Ports And Special Economic Zone Limited","ADANIPORTS","1,657.3","-0.23%","63,13,698",""
"159","Triveni Turbine Limited","TRITURBINE","573.25","-0.23%","5,13,534",""
"160","Tarc Ltd","TARC","132.71","-0.27%","5,05,828",""
"161","GE Vernova T&D India Ltd","GVT&D","4,466.2","-0.29%","6,53,778",""
"162","Hindustan Aeronautics Ltd","HAL","4,338.8","-0.29%","8,18,024",""
"163","Jain Resource Recycling Ltd","JAINREC","458.95","-0.3%","11,43,919",""
"164","Bls International Services Limited","BLS","278.31","-0.3%","7,44,015",""
"165","Grasim Industries Limited","GRASIM","2,794.5","-0.31%","11,30,223",""
"166","Glenmark Pharmaceuticals Limited","GLENMARK","2,406.3","-0.31%","7,92,796",""
"167","Ashoka Buildcon Limited","ASHOKA","134.25","-0.33%","8,44,894",""
"168","Manappuram Finance Limited","MANAPPURAM","294.35","-0.34%","36,91,260",""
"169","Navkar Corporation Limited","NAVKARCORP","100.35","-0.34%","9,32,867",""
"170","Upl Limited","UPL","641.85","-0.35%","21,23,914",""
"171","Tejas Networks Ltd","TEJASNET","415.15","-0.36%","17,89,183",""
"172","EPL Ltd","EPL","226.13","-0.36%","6,78,532",""
"173","Ather Energy Ltd","ATHERENERG","934.85","-0.38%","19,91,317",""
"174","Avanti Feeds Limited","AVANTIFEED","1,380.7","-0.39%","5,54,224",""
"175","CPSE ETF*","CPSEETF","108.37","-0.4%","18,14,069",""
"176","Valor Estate Ltd","DBREALTY","103.57","-0.4%","12,31,669",""
"177","Jindal Steel Ltd","JINDALSTEL","1,223.1","-0.41%","8,78,441",""
"178","ICICI Lombard General Insurance Company Ltd","ICICIGI","1,763.2","-0.42%","7,74,438",""
"179","Oil India Limited","OIL","490.8","-0.42%","47,36,274",""
"180","JSW Infrastructure Ltd","JSWINFRA","271.98","-0.42%","21,07,064",""
"181","Lloyds Metals & Energy Ltd","LLOYDSME","1,764.4","-0.44%","5,03,137",""
"182","Rolex Rings Ltd","ROLEXRINGS","145.82","-0.45%","22,20,473",""
"183","Vishal Mega Mart Ltd","VMM","122.29","-0.46%","62,37,821",""
"184","Laurus Labs Limited","LAURUSLABS","1,100.95","-0.47%","23,64,117",""
"185","UTI Asset Management Company Ltd","UTIAMC","950","-0.47%","5,44,606",""
"186","Anand Rathi Share & Stock Brokers Ltd","ARSSBL","598.3","-0.47%","7,25,897",""
"187","Nestle India Limited","NESTLEIND","1,458.6","-0.48%","23,05,703",""
"188","Nlc India Limited","NLCINDIA","316.6","-0.5%","52,62,674",""
"189","Dr. Reddy's Laboratories Limited","DRREDDY","1,322.9","-0.52%","12,27,007",""
"190","Gujarat Mineral Development Corporation Limited","GMDCLTD","736.15","-0.53%","40,40,540",""
"191","Gallant Ispat Ltd","GALLANTT","861.85","-0.55%","8,09,035",""
"192","BlackBuck Ltd","BLACKBUCK","548.05","-0.55%","7,94,432",""
"193","Belrise Industries Ltd","BELRISE","212.72","-0.58%","26,06,344",""
